105,Sebjan-Küöl__Narratives__Personal Narratives__Stepanova_ZA_jubki_Aniwrin__Stepanova_ZA_jubki_Aniwrin_230210_Sebjan.eaf,"id, tx (латиница)",
106,Sebjan-Küöl__Narratives__Personal Narratives__Stepanova_ZA_naled__Stepanova_ZA_naled_23022010_Sebjan.eaf,"id, tx (латиница), ev (кириллица)",
107,Sebjan-Küöl__Narratives__Personal Narratives__Suzopova_Olja_Eveny_Tompo__Suzopova_Olja_eveny_Tompo_240310_Sebjan.eaf,"id, tx (латиница)",
108,Sebjan-Küöl__Narratives__Personal Narratives__Suzopova_Olja_pro_babushku__Suzopova_Olja_pro_babushku_240310_Sebjan.eaf,"id, tx (латиница)",
109,Sebjan-Küöl__Narratives__Personal Narratives__Suzopova_Olja_stado__Suzopova_Olja_stado_240310_Sebjan.eaf,"id, tx (латиница)",
110,Sebjan-Küöl__Narratives__Personal Narratives__Zaxarov_AV_indjuk_internat__Zaxarov_AV_indjuk_internat_180310_Sebjan_2.eaf,"id, tx (латиница), ev (кириллица)",
111,Topolinoe__Conversations__Top09_GNM_SAT_conversation__Top09_GNM_SAT_conversation.eaf,"id, tx (латиница), ev (кириллица)",
112,Topolinoe__Explanatory texts__Flora__Top09_ZTA_2_2_healing-shaman-taboo__Top09_ZTA_2_2_HealingDreamsTaboos.eaf,"id, tx (латиница), ev (кириллица)",
113,Topolinoe__Explanatory texts__Reindeer__Top09_GNM_1_2-sacred-reindeer__Top09_GNM_1_2-sacred-reindeer.eaf,"id, tx (латиница) не связаны!, ft объединяет",
114,Topolinoe__Explanatory texts__Reindeer__Top09_GNM_4_1_Reindeer-birds-colours-rituals__TOP09_GNM_4_1_Reindeer_masti_ritual.eaf,"id, tx (латиница), ev (кириллица)",
115,Topolinoe__Explanatory texts__Social Organization__Top09_ODM_Kinship_Terminology__Top09_ODM_Kinship_Terminology.eaf,tx (кириллица) - но там очень много русского,
116,Topolinoe__Explanatory texts__Social Organization__Top09_ZKM_2.4_Hebdjek_Festival_1__Top09_ZKM_2_4_Hebdjek_1a.eaf,"id, tx (латиница)",
117,Topolinoe__Music Sound__Songs Dances__Top09_GMG_1275-bird.song__Top09_GMG_1275-bird.song.eaf,"id, tx (латиница), ev (кириллица)",
118,Topolinoe__Music Sound__Songs Dances__Top09_GMG_1276-chipmunk__Top09_GMG_1276-chipmunk.eaf,"id, tx (латиница), ev (кириллица)",
119,Topolinoe__Music Sound__Songs Dances__Top09_PAI_1a_songs&life__Top_PAI_1a_Songs-Life.eaf,ev (кириллица),
120,Topolinoe__Narratives__Folklore__Top07_GNM1_Ed'ek__Top07_Golikova1_Edjek.eaf,"id, tx (латиница)",
121,Topolinoe__Narratives__Folklore__Top07_ZKM_1a_Raven__Top_07_ZKM_1a_Raven.eaf,"id, tx (латиница)",
122,Topolinoe__Narratives__Folklore__Top07_ZKM_1b_Birds__Top07_ZKM_1b_Birds.eaf,"id, tx (латиница)",
123,Topolinoe__Narratives__Folklore__Top09_GMG_1277-Glove.Love__Top09_GMG_1277.Glove.Love.eaf,"id, tx (латиница), ev (кириллица)",
124,Topolinoe__Narratives__Folklore__Top09_PAI_1b_nimkan&life__Top_PAI_1b_Nimkan-Life.eaf,ev (кириллица),
125,Topolinoe__Narratives__Personal Narratives__Top09_DMP_1a_Life__Top09_DMP_1a-Life.ZOOM.eaf,ev (кириллица),
126,Topolinoe__Narratives__Personal Narratives__Top09_DMP_1b_Shaman__Top09_DMP_1b_Schaman.eaf,ev (кириллица),
127,Topolinoe__Narratives__Personal Narratives__Top09_GNM_1_1-Childhood__Top_gol.n.m.1.1.eaf,ev (кириллица),
128,Topolinoe__Narratives__Personal Narratives__Top09_GNM_2_3_shamans and kulaks__Top09_GNM_2_3_shamans_and_kulaks.eaf,"id, tx (латиница), ev (кириллица)",
129,Topolinoe__Narratives__Personal Narratives__Top09_GNM_3_2_Funny Story about Father__Top09_GNM_3_2_Funny_Story_about_Father.eaf,"id, tx (латиница), ev (кириллица)",
130,Topolinoe__Narratives__Personal Narratives__Top09_GNM_3_3-fun-misunderst-dial1__Top09_GNM_3_3_Fun_Misunderst_Dial1-reimport.eaf,"id, tx (латиница)",
131,Topolinoe__Narratives__Personal Narratives__Top09_GNM_4_3_Funny Story about a fawn__Top09_GNM_4_3_FunStory_Angacha.eaf,"id, tx (латиница), ev (кириллица)",
132,Topolinoe__Narratives__Personal Narratives__Top09_LVA_LSM_1_1a_Shaman__TOP09_LVA_LSM_1_1a_Shaman-reimport.eaf,"id, tx (латиница), ev (кириллица)",
133,Topolinoe__Narratives__Personal Narratives__Top09_LVA_LSM_1_1b_Shaman__Top09_LVA_LSM_1_1b_Shaman-reimport.eaf,"id, tx (латиница), ev (кириллица)",
134,Topolinoe__Narratives__Personal Narratives__Top09_LVA_LSM_1_2_Shaman__Top09_LVA_LSM_1_2_Shaman.eaf,"id, tx (латиница), ev (кириллица)",
135,Topolinoe__Narratives__Personal Narratives__Top09_SEV_2_1_childhood_history__Top_SEV_2_1_childhood_history.eaf,ev (кириллица),
136,Topolinoe__Narratives__Personal Narratives__Top09_TMA_1_2_Hunt__Top09_TMA_1_2_Hunt-reimport.eaf,"id, tx (латиница), ev (кириллица)",
137,Topolinoe__Narratives__Ritual texts__TOP09_GNM_6_3_Dead Spirit Baby__Top09_GNM_6_3_Dead_Spirit_Baby.eaf,"id, tx (латиница), ev (кириллица)",
138,Topolinoe__Procedural texts__Top09_GNM_5_Sewing-Unty__TOP_GNM_5_Unty_Sewing.eaf,ev (кириллица),
